name,description,vertical,subvertical,url
Remodeling Projects,Lots of people jump into remodel-mode in the spring once the weather warms up. Contractors are needed to help plan new construction or larger remodeling projects to make sure all the right people get brought and to help estimate cost.,Home Services,"Contractors, General Contractors",
Home Refresh,"Hiring a painting contractor is often needed for renovation projects that cover large parts of the home, high ceilings, or even where drywall has been repaired to match paint. Does your customer offer special services for repairs, or have specialty like cabinetry or exterior wall paint?",Home Services,"Contractors, Painting Contractor",
Home Reno,"Whether it's installing a pool in preparation of summer or smoothing out damaged parts of the property from fallen trees and debris, if there's dirt to be moved, Excavation Contractors are here to help. Spring is the perfect time to install a swimming pool. Check to see if your customer has any specializations or specialty equipment that could help.",Home Services,"Construction Engineering, Excavation",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/654148382/Excavation
Home Customization,Folks who are building homes this spring may have the opportunity to look into customizing their driveway.,Home Services,"Construction Engineering, Pavement and Driveways",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499123763/Pavement+and+Driveways
Outdoor Living Upgrade,"Getting ready for poolside dinners and days spent outside is the perfect opportunity to refresh outdoor living spaces — that's where our outdoor lighting customers come in. Pool lighting, advanced lighting system in gardens and yards, and professionally lit gazebos are all on the top of mind over the next few months.",Home Services,"Gardening Landscaping, Outdoor Lighting",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499287083/Outdoor+Lighting
Home Staging,"Staging a home can drastically improve the rate at which it sells. It's important to keep in mind those carpets that have been walked on for over a decade or the rug under the dining table that doesn't get a deep clean all the time. Carpet cleaning is a great way to remove dust, dirt, build-up, and improve the air quality in a home. Some companies offer free estimates which is great for home owners working on a budget.",Home Services,"Cleaning Services, Carpet Cleaning",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499287218/Carpet+Cleaning
Curb Appeal,Curb appeal is a big deal when it comes to selling your home. Hiring a company to pressure wash the driveway and sidewalks of a home before it gets put on the market is an easy way to elevate the look and feel without doing any major renovation.,Home Services,"Cleaning Services, Power and Pressure Washing",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499025787/Power+and+Pressure+Washing
Unseen Issues in Old Homes,"Older homes have their charm, but also can come with unseen issues. Depending on the age of the property, the chimney might be outdated compared to the rest of the home. An expert will know techniques to repair older and newer chimneys.",Home Services,"Cleaning Services, Chimney Sweeping",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499025787/Power+and+Pressure+Washing
A Helpful Hand,"Some small fixes are often needed before you close on a house. From switching light fixtures to fixing a leaky toilet, a handyman is perfect to call when there are multiple small fixes that need to get done quickly rather than calling multiple contractors.",Home Services,Handyman,
Renovations,"Smaller renovation and remodel projects may be doable on your own, but when trying to move or replace light fixtures it's important to have a professional to avoid costly mistakes.",Home Services,Electrician,https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499123067/Electricians
Clean-Lined Cabinets,"While trends overall are leaning away from minimalism, cabinetry is an exception. More and more homes are opting for more modern cabinets in kitchen and bathrooms instead of a more traditional style.",Home Services,Carpentry,
Thoughtful organization of decor,"We're seeing a shift away from minimalism folks spending more time in their homes. They're realizing rather than being tucked away in a drawer or closet, having the things they need within arms reach is important. This leads to careful curation of how these items are displayed: think curio cabinets or shelving with glass doors and carefully curated shelves in kitchens, offices, and living spaces. Useful for customers who offer staging as a part of their realty service or in educational posts about interior design trends. #shelfie",Professional Services,,
Shifts to neutrals and warm colors,"Warm neutrals are on the rise. Cool tones aren't completely going away, but tones that are inviting and cozy are certainly making an entrance. Think natural feeling spaces over sleek and minimal. Useful for customers who offer staging as a part of their realty service, educational posts about interior design trends, audience participation posts about color palettes in the home",Professional Services,,
Organization as a viral trend,"Pairing nicely with seasonal spring cleaning, projects that include organizing drawers, shelves, cabinets, and closets are making the rounds. Folks love the gratification of a clean and tidy space. More examples include: pantries, offices, bookshelves, garages, and bathrooms. This content compliments posts about decluttering and improving the appeal of a home before it goes on the market. #organized, #pantrymakeover, #declutter, #homeorganization",Professional Services,,
Pest Control in the Kitchen,"Spring pests, like ants, love kitchen spaces because of the availability of potential water and food sources. Crumbs, spill residue, and food left out are some of their favorite snacks.",Home Services,Pest Control,https://www.vulcantermite.com/home-pest-control/spring-cleaning-tips-avoid-spring-pests/
Pests That Thrive in the Summer,"Mosquitoes, Ants, Fleas, Ticks, Termites, Grasshoppers, Flies, and Stinging Insects",Home Services,Pest Control,
Custom-built homes,"With real estate prices in many areas going up, some people are considering custom-built homes. For many, the long-term cost savings of buying a new home are more attractive than maintaining an older home.",Home Services,Construction Engineering,
Pool maintenance ,"With summer coming, it's important to make sure your pool continues to operate successfully. Skimming, brushing, and vacuuming your pool are just a few things to keep track of when considering pool maintenance. Making sure chemical levels stay where they need to be can take a little more time and practice. Some pool companies offer routine in-person maintenance, while others may provide the perfect tools to do it yourself.",Home Services,Pool service/maintenance ,
Gutter cleaning ,"Depending on where you live and if there are trees near your home, you need to make sure your gutters are clear of debris. Having clear gutters insures rainwater flows freely and does not get stuck which can cause standing water. This can cause a number of problems including damage to the gutter itself, excess moisture in walls, mold and mildew. Most roofing or handyman companies can safely and effectively clear gutters prior to unpredictable weather. ",Home Services,Roofing,
New construction plumbing,The housing market means an influx of new homes needing plumbing installation or updates/repairs to older plumbing in a newly-purchased home. Does your customer offer new installation warranties or discounts?,Home Services,Plumbing,https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/499057101/Plumbers
Slim Pickings,"From late 2020 to mid 2021, real estate inventory has been incredibly low. As of November 2020, inventory has been down a whole 20%. In December, more that 70% of homes for sale were on the market for less than a month. Simply put, in some markets, there aren't enough houses to meet buyer demand. For buyers, low inventory means: moving faster, expanding the search geographically, and considering what things are ""must haves"" vs. ""nice to haves."" It's a great idea to get pre-approved ASAP and find less expensive homes in great neighborhoods in they can afford to upgrade over time. For sellers, this is better news: Low inventory means less selling competition.  ",Professional Services,,https://www.ramseysolutions.com/real-estate/real-estate-trends
Rising home prices,"As of the end of last year, existing home prices had grown by about 15% as compared to the same time the prior year. This marked more than 100 straight months of consistent price gains. Encourage your audience to really know what they can afford. It could be time to post some budgeting tips for buyers, like: limiting their house payment to no more than a specified percentage of their take-home pay, saving up to make  a down payment, etc. Remember: Avoid specific numbers or percentages within content. We should never be giving specific financial advice on behalf of our customers.",Professional Services,,https://www.ramseysolutions.com/real-estate/real-estate-trends
Low Mortgage Interest Rates,"Mortgage interest rates, the fees that lenders charge as a percentage of a loan amount, are the lowest they've been in decades (around 3%), and economists think that this trend should continue through 2021. For buyers, this can help with affordability, but they should be cautious as to not purchase a home they cannot afford. For sellers, this means that buyers might be motivated to purchase their properties sooner.",Professional Services,,
The Rise of Millennials,"No longer just in the ""entry-level"" market, millennials are moving into and taking over the ""move-up"" market, as they grow their families and need more space. Consider the age of your audience when creating content. Older millennials in some places may be ready to move on from their starter homes into bigger properties with more space and resources. ",Professional Services,,https://www.realtor.com/research/2021-national-housing-forecast/
Suburban migration,"People are moving into the suburbs! With permanent remote work becoming more common, city-dwellers —freed from the daily tether of a commute to the office and looking for affordable space to shelter, work, learn, and live— are finding homing solutions outside of their typical urban communities. Even before the pandemic, homebuyers looking for affordability were drawn to these areas, too. This is a great trend to capitalize on if you have any Realtor clients who work in areas or communities that are adjacent to large, bustling urban sprawls. Highlight the benefits of those communities!",Professional Services,,https://www.realtor.com/research/2021-national-housing-forecast/
3D printed homes,3D printed homes are gaining popularity as they become more easily available in cities across the country. They can typically be built quickly and at a lower price than a traditional home. An interesting trend can make for a great audience participation post.,Home Services,Construction Engineering,
Natural mosquito control ,"Mosquito and other pest control using natural ingredients like plant oils are gaining in popularity. Additionally, making changes to your outdoor area like treating water features with repellent or working to remedy areas with standing water can be a big help. Mosquitoes thrive in hot, humid weather. Natural alternatives are popular because they are effective and safe for children and pets. ",Home Services,Pest Control,
Drywall installation ,"Drywall installation is one of the most commonly requested handyman services, home improvement or to repair damage. Professionals can repair or install drywall including cracks from settling, wear and tear, moisture damage, rodent damage, drywall hanging, and painting and finishing touches.",Home Services,Handyman,
Above Asking Price,"The asking price for a home is the amount of money that the seller wishes to receive for their property. Due to lower inventory and higher demand, nearly every home sold during the pandemic went into a multiple-offer situation. Thus, a majority of recent buyers have had to pay over the asking price for their new home purchases. This particularly impacted first-time home buyers and millenials, who tended to have lower budgets.",Professional Services,,https://www.realtor.com/news/trends/how-covid-19-pandemic-impacted-millennial-home-buyers/
Required renovations,"Due to lower inventory and higher demand, many buyers have had to settle for properties that need more work or repairs than they had originally planned or budgeted for. According to a survey, 56% of millennials bought a home requiring minor or major renovations, although only 42.4% began their search with that intention. If your client has connections to contractors, remodelers, interior designers, etc -- highlight that! Also, this is a good time to post home-improvement tips, DIY projects, design trends and suggestions, and the like. ",Professional Services,,https://www.realtor.com/news/trends/how-covid-19-pandemic-impacted-millennial-home-buyers/
Playful details,"Due to budget or time constraints, making major aesthetic overhauls may be a difficulty or impossibility for some buyers. Small details, such as dashes of color, backsplashes, or unique hardware on cabinets or drawers are small,simple details that make big impacts. For audience participation, you can ask your clients' audience what their favorite small details in their home are. Alternatively, you can choose a stock photo that shows off a small detail and highlight this idea in the caption. ",Professional Services,,https://www.realtor.com/advice/home-improvement/bargain-block-unveils-a-new-design-style-that-modern-farmhouse-folks-will-love/
Vegetable gardens,"As people became wary of the grocery store in the beginning of the pandemic, at-home vegetable gardens grew (haha) in popularity. Expect to see these new gardeners keep at it as the late spring/early summer harvest season approaches.  Post gardening tips or recipes for seasonal fruits and veggies. Highlight veggie and fruit plants that look beautiful as a way to impress potential buyers and boost curb appeal. ",Professional Services,,realtor.com/videos/video-these-landscaping-trends-will-be-hot-this-summer/8302c422-ed18-480f-b791-1712b60cc4c1/
DIY playgrounds,"Since many people spent most of their time at home last year, they invested in backyard entertainment to keep their families busy. Think inflatable pools, swing sets, rope swings, and lawn games like cornhole. These inexpensive improvements can bring a lot of life into an otherwise unimpressive backyard space.  Highlight ways to affordably and efficiently turn a backyard into a fun place the whole family can enjoy. ",Professional Services,,realtor.com/videos/video-these-landscaping-trends-will-be-hot-this-summer/8302c422-ed18-480f-b791-1712b60cc4c1/
New construction ,"Since inventory in the housing market is low, more buyers may be turning to new construction as a solution. Basically, this term refers to buying a house before it is complete or built. This process comes with its own set of complications, like securing permits, finding contractors, and more.  Also, as a result, the buyer may have more influence on what the finished product looks like, ",Professional Services,,
Housing Market,"The spring & summer months are typically the busiest time of the year for real estate professional. Homeowners looking to sell may be finishing up renovations or looking for agents to get their houses on the market. Scoping out rental properties is common during this time of year, too. People use these months as an opportunity to check out new neighborhoods and parks, too -- the warmer weather makes strolls, walks, and other realty recon more enjoyable. ",Professional Services,,
Curb appeal,"Sprucing up curb appeal is a traditional seasonal real estate marketing technique. A home's ""curb appeal"" is the first impression it gives to the outside world. It enhances the overall look and feel of a property, and it also stimulates interest and provides a return on investment. Think of all the things you see when you stand in front of a home -- the driveway, the door, the front yard, etc. In general, touching up or enhancing these things adds to curb appeal. You could even post gardening tips or wreath examples. ",Professional Services,,https://www.lifestorage.com/blog/moving/diy-curb-appeal-tips-increase-buyer-appeal/
Backyard Trends,"In the summer months, backyards can really stand out. They're defining features of the home and could lead potential buyers into thinking how to live their lives outdoors. Lately, people have been improving their backyards with particular attention paid to sustainability, ""gardening with a purpose"" (using native/local or functional plants, etc), and moving indoor living outside. ",Professional Services,,
Summer housing market update,"July is typically the last big push for sellers before the slower season starts in August. Due to the lower inventory and higher prices of homes this year, we may not see as big of a dip as previous years.",Professional Services,,
Home improvement budgets,"According to the 10th annual Houzz & Home report, which polled more than 70,000 respondents on their renovation habits, our home improvement budgets ballooned by 15% over the past year—up to a median of $15,000 per household. Essentially, those who had renovations in mind had the time to complete those remodels this year. Additionally, people report having their hearts set on renovating even more as 2021 continues. ",Professional Services,,https://www.realtor.com/news/trends/houzz-reveals-how-much-we-spend-on-renovations-and-top-trends/
Garden and deck improvements,"Demand for outdoor renovation projects has went up, probably because people are realizing that they're using their yards now more than ever. What may have resulted in small DIY projects in years past has blossomed into complete deck and porch redos. Use this as an opportunity to point out cool outdoor features, suggest upgrades to homeowners, and to let those in the market know what to look for.",Professional Services,,https://www.realtor.com/news/trends/houzz-reveals-how-much-we-spend-on-renovations-and-top-trends/
Smart home upgrades,"Homeowners are moving away from cineplex entertainment centers and towards smart home integration. Applicable devices include streaming platforms, TVs, light fixtures, speakers, sound systems, and more. There's limitless potential -- highlight potential smart upgrades in ongoing content.",Professional Services,,https://www.realtor.com/news/trends/houzz-reveals-how-much-we-spend-on-renovations-and-top-trends/
Simple & budget-friendly garden renovations,"Fixing up an outdoor space doesn't need to be a huge financial commitment. Here are some fun, and affordable, weighs to upgrade a back or front yard: 1) Define your spaces. Clearly defined spaces give backyards dimension and purpose. Experts suggest adding tables, chairs, and outdoor rugs to assist with this goal. 2) Create a garden path. Adding a meandering path gives a polished look to a seemingly untamed space. You can accomplish this by freeing existing stones of weeds or overgrowth, or lay a new path with gravel, paverr, or concrete stones. 3) Think vertically. Add some vertical elements, like a chiminea, to your backyard to switch up a flat perspective. They can serve to add dimension and color.  ",Professional Services,,https://www.realtor.com/advice/home-improvement/how-to-renovate-backyard-on-a-budget/
Green Features,"People are paying attention to the environment when looking for their next home. Aside from the obvious climate-related benefits, these feature may also make a home cheaper to maintain -- lower energy costs, etc. Here are some common features that may be present in newly-constructed residential properties: improved insulation, programmable thermostats, low-emittance windows, energy-efficient lighting, sustainable building materials, solar or geothermal energy sources, and more.",Professional Services,,https://www.newhomesource.com/learn/common-green-features-new-homes/
National Water Quality Month,National Water Quality Month in August is all about protecting our water resources and educating ourselves about water quality. The average person uses approximately 80 gallons of water or more per day!,Home Services,"Plumbing, Construction, Landscaping",
Heat wave,"A heat wave is a period of excessively hot weather, which may be accompanied by high humidity, especially in oceanic climate countries. They are usually measured relative to the usual weather in a given season and area.",Home Services,HVAC,
Forgoing a home inspection,"Given a competitive housing market, some buyers are offering to forgo a home inspection when putting in an offer. While this may increase your chances of getting the home, it is generally not recommended by home inspectors or Realtors. ",Home Services,Home inspection,https://www.bostonmagazine.com/property/2021/06/24/waiving-home-inspection-guide/
Indoor air quality ,"IAQ refers to the air quality within and around buildings and structures, especially as it relates to the health and comfort of building occupants. This has especially become a hot topic due to COVID-19.",Home Services,"HVAC, Construction, Home insepction ",
Decluttering,"Clutter can make homes hard to stage, and it also can make it more difficult to move when the time comes. Encourage your audience to take note of what they're hoarding and encouraging freeing up space. Commonly collecting items include coffee mugs, tote bags, tupperware and dishes, and more. ",Professional Services,Real Estate,https://www.realtor.com/advice/home-improvement/things-people-hoard-and-how-to-purge-them-for-good/
Adjustable-rate mortgages,"Due to record-high home prices, more buyers than ever are choosing to go with adjustable-rate mortgages, which offer lower monthly payments initially. People are looking to save money on monthly payments by any means possible. However, the mortgage rate on these types of loans reset after a set amount of years -- usually five or ten. If rates go down by that time, that's a good thing for the buyer. However, if rates go up, their monthly payments will increase to reflect the market at that time. Since mortgage rates are historically low right now, making this choice could saddle buyers with higher payments in the future. It's a risk, but it's one that could pay off if the buyer intends to sell their home after the initial period elapses. ",Professional Services,Real Estate,https://www.realtor.com/news/trends/more-homebuyers-are-turning-to-adjustable-rate-mortgages/
Getting spooky in the suburbs?,"Black-painted homes have long been trendy in urban areas, but now we're seeing this edgy trend start to pop up in suburbs across the country. Black houses do look stylish and can create some unique curb appeal -- they certainly stand out, especially in suburban areas. It's important to consider the type of architecture before taking this aesthetic step -- darker hues look great on houses with barn-like exteriors, but may look strange on more intricate homes. Black or dark hues can also play a supporting role in a color story instead of standing is as the main character. Black houses also may incur higher energy costs because they attract heat. In any case, this is an idea that people are sure to have opinions on.  Try posting a stock image of a beautiful black home, ask what people think, and let your audience sound off in the comments. ",Professional Services,Real Estate,https://www.realtor.com/news/trends/the-eerie-rise-of-black-houses-in-the-burbs-and-beyond/
Victory gardens,"Small vegetable gardens, called Victory gardens, first became popular during WW1 because citizens were encouraged to grow food wherever they could. This trend resurged during the pandemic as more American became faced with food insecurity or were unable to make grocery trips. Now, people have learned to enjoy the self-sufficiency that a small garden can bring. Posting about the history of Victory gardens, educational tips about what's in season or how to grow different things, or even #goals garden examples can be a fun way to draw in an audience. ",Professional Services,Real Estate,https://www.nytimes.com/2020/03/25/dining/victory-gardens-coronavirus.html
Shortage of starter homes,"Millennials are having trouble getting into the housing market -- it may seem as if everything is on hold. Traditionally, smaller homes with lower selling prices have served as the first rung on the homeownership ladder. However, the supply ot ""entry-level"" housing is the lowest it's been in fifty years. As we know, demand is high and inventory is low. For young homeowners, it might be necessary to expand the geographical bounds of their searches or to look at less-desirable homes, like fixer-uppers and foreclosures. ",Professional Services,Real Estate,https://www.realtor.com/news/trends/for-some-millennials-a-starter-home-is-hard-to-find/
College-town investments,"When colleges transitioned to remote learning, it created a lot of housing vacancies in traditionally affluent, competitive college town markets. Now that most colleges plan on resuming in-person learning in fall due to widespread vaccine availability, that window of investment opportunity is getting smaller -- but it's still there. If you're considering investing in a college-town market, it can be important to track things like available on-campus housing vs. total enrollment, job markets, and cost of living. In general, smaller cities are safe bets.  ",Professional Services,Real Estate,https://www.realtor.com/news/trends/theres-still-a-window-of-opportunity-to-invest-in-u-s-college-towns/
Large-format tile,"Visual and aesthetic upgrades are a huge part of home renovations trends. Larger tiles help to visually expand a smaller space. Additionally, there's less grout, which means that there's less to clean and less visual clutter. Matte tiles are great for bathroom floors because they add grip and provide slip resistance. ",Professional Services,Real Estate,https://www.architecturaldigest.com/story/renovation-trends-2021
